Date,Close,Volume,Open,High,Low
04/16/2021,114.89,22601800,115.15,115.32,114.22
04/15/2021,114.83,27472240,113.85,115.33,113.3
04/14/2021,112.74,20219340,113.76,113.9,112.46
04/13/2021,113.36,23316080,113.07,113.86,112.8
04/12/2021,112.74,31317020,113.31,113.77,111.92
04/09/2021,114.29,20887300,112.84,114.45,112.69
04/08/2021,113.27,27165180,113.9,114.2,112.88
04/07/2021,112.48,25797220,111.31,112.75,111.27
04/06/2021,111.24,27060720,111.13,111.88,110.74
04/05/2021,111.28,43297500,107.65,111.87,107.58
04/01/2021,106.89,33979560,104.9,107.15,104.84
03/31/2021,103.43,29198600,102.96,104.67,102.84
03/30/2021,102.78,20735480,102.88,103.54,102.2
